time, latitude, longitude, depth
20080113T10:50:27.400Z, -31.595, -68.732, 105.1
20080116T21:17:36.700Z, -31.246, -68.985, 102.4
20080218T08:51:03.700Z, -31.540, -68.945, 103.5
20080612T19:03:37.800Z, -31.067, -68.463, 100.4
20080831T06:45:05.400Z, -31.372, -68.118, 97.8
20081113T11:12:30.400Z, -31.236, -65.838, 167.1
20090701T00:38:41.900Z, -31.398, -67.816, 22.0
20081001T00:43:21.000Z, -30.020, -68.758, 94.9
20080201T00:51:19.300Z, -31.927, -69.211, 104.0
20080701T01:06:59.300Z, -32.003, -68.153, 114.4
20081201T01:10:36.000Z, -31.575, -66.550, 131.6
20080701T01:19:27.300Z, -31.670, -68.804, 19.7
20090301T01:24:24.200Z, -31.776, -67.104, 129.7
20090801T02:03:53.800Z, -30.079, -66.821, 23.9
20081101T02:09:33.600Z, -31.197, -68.356, 100.6
20091001T02:10:32.800Z, -31.804, -68.289, 105.7
20081101T02:20:19.900Z, -31.582, -67.056, 125.5
20090201T02:21:45.900Z, -31.541, -69.015, 112.6
20090201T03:46:19.000Z, -31.274, -67.587, 105.2
20090401T03:56:32.600Z, -31.196, -68.077, 23.2
20080601T04:08:38.000Z, -31.286, -67.939, 33.2
20081201T04:41:15.400Z, -31.947, -68.682, 99.8
20090201T04:57:58.100Z, -31.316, -68.990, 104.2
20090701T07:10:29.800Z, -30.836, -65.449, 190.3
20090701T08:39:28.000Z, -31.330, -68.137, 37.4
20080201T08:42:29.900Z, -31.657, -69.077, 105.2
20090201T09:40:22.300Z, -31.521, -68.801, 102.3
20090601T10:00:13.400Z, -32.000, -66.937, 137.4
20080201T10:09:24.100Z, -31.592, -68.676, 100.8
20090601T10:21:26.700Z, -31.450, -67.377, 106.2
20090601T10:22:43.000Z, -29.581, -67.710, 107.7
20080701T10:26:50.800Z, -31.176, -68.437, 102.4
20080701T10:33:35.200Z, -31.999, -68.295, 27.7
20080901T11:03:43.000Z, -30.698, -66.688, 22.5
20080601T11:26:17.800Z, -30.879, -67.317, 29.0
20081101T13:23:36.200Z, -32.103, -68.554, 116.1
20081201T13:33:20.700Z, -31.299, -68.835, 102.7
20080401T14:09:00.500Z, -31.698, -69.264, 107.5
20091101T15:04:55.900Z, -31.937, -69.014, 18.5
20080501T15:22:05.000Z, -31.305, -68.922, 107.6
20080601T18:34:40.400Z, -30.197, -68.085, 94.1
20090101T19:19:11.400Z, -31.299, -68.690, 106.9
20090801T20:19:07.300Z, -30.689, -64.521, 18.0
20090102T00:16:29.700Z, -31.725, -67.169, 115.6
20080802T00:30:46.300Z, -31.212, -68.518, 34.4
20090602T01:04:39.400Z, -31.540, -67.923, 32.2
20080802T02:36:47.700Z, -31.537, -69.870, 111.5
20081102T03:04:54.900Z, -31.345, -68.857, 103.5
20080902T03:21:56.200Z, -31.082, -68.570, 99.4
20090602T03:43:12.000Z, -31.226, -68.009, 26.3
20081202T04:35:38.300Z, -31.311, -68.616, 101.6
20090102T04:41:58.100Z, -31.225, -68.769, 101.9
20091102T05:24:32.800Z, -31.135, -68.481, 100.3
20090502T06:13:32.500Z, -30.286, -68.366, 91.3
20090502T06:14:46.200Z, -31.370, -68.653, 102.6
20080702T07:14:30.800Z, -31.177, -68.525, 101.4
20081102T07:46:32.600Z, -32.002, -68.427, 112.5
20081202T08:43:54.400Z, -31.215, -68.525, 105.4
20081002T08:57:49.600Z, -31.137, -66.826, 17.2
20090102T09:59:10.900Z, -30.276, -66.488, 18.6
20081202T10:23:16.700Z, -31.220, -68.952, 106.3
20090302T11:13:00.200Z, -31.333, -68.115, 39.1
20090502T11:55:50.400Z, -31.407, -66.510, 140.0
20081202T14:16:37.000Z, -31.229, -68.749, 104.7
20090802T15:45:08.200Z, -31.629, -66.933, 122.5
20080802T16:28:31.500Z, -31.240, -68.834, 107.5
20090502T17:13:03.700Z, -29.970, -67.011, 35.5
20090702T17:13:12.800Z, -31.034, -67.592, 29.8
20090702T17:23:14.100Z, -31.479, -68.996, 105.6
20090202T18:39:25.200Z, -31.463, -68.022, 26.8
20080502T20:02:58.600Z, -31.450, -68.879, 100.2
20090602T22:11:17.500Z, -31.470, -69.090, 102.1
20081202T22:22:33.700Z, -31.877, -67.279, 124.0
