# longitude latitude station
-64.064301 -29.141199 ESP01
-64.050697 -29.455601 ESP02
-64.014297 -29.742800 ESP03
-64.409401 -30.771700 ESP04
-64.647903 -31.011400 ESP05
-64.956398 -31.138201 ESP06
-65.223999 -31.265100 ESP07
-64.549599 -31.597300 ESP08
-64.658096 -31.909401 ESP09
-64.999199 -32.151798 ESP10
-65.717201 -32.418900 ESP11
-66.080200 -32.832001 ESP12
-66.238297 -31.499001 ABRA
-69.245399 -30.407600 ARRO
-69.415901 -31.649500 BARR
-68.435097 -31.751101 BOZA
-69.419502 -31.283100 CALI
-69.628502 -31.207001 CASP
-67.188499 -32.274200 CATA
-68.775101 -31.905800 CHIL
-67.284599 -31.067400 CHUC
-66.248100 -28.819500 CHUM
-68.565002 -31.527800 CIG2
-68.573898 -30.144100 CIGA
-68.984901 -32.119598 CLAR
-67.109596 -29.935699 COLO
-68.073997 -31.123800 CONE
-69.639900 -29.959600 CORT
-69.082703 -30.949200 DOCA
-68.948097 -30.830900 GUAL
-70.197304 -31.893900 GUAR
-68.475601 -31.328699 LAJA
-69.324097 -31.801600 LEON
-66.528000 -30.394899 LLAN
-67.836304 -30.160801 LUNA
-67.508698 -30.686600 MAJA
-66.607300 -30.818199 MALA
-68.492798 -30.938900 MONA
-67.870201 -31.577000 NIKI
-66.747002 -31.199400 NOQE
-69.525002 -31.036800 NUEV
-68.828201 -30.192900 PACH
-67.286400 -30.208500 PAGA
-69.692299 -31.896500 PATO
-70.027702 -31.899300 REGU
-67.724503 -30.270300 RINC
-68.984299 -31.511499 SASO
-68.799103 -31.271099 SECA
-69.021797 -31.917200 SOMB
-68.747498 -31.020700 TALA
-69.436302 -30.658600 TOCO
-68.625999 -30.570101 TUCU
-68.576401 -31.540600 UNSJ
-69.387802 -32.223999 USPA
-69.474899 -30.165800 VELA
-68.721298 -31.603701 ZOND
